Timestamp,Email,Age Group,Category,Budget,Interests
2026-05-21 14:10:14,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:14,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:14,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:14,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:14,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:15,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:15,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:18,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:15:48,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:15:50,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:15:51,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:15:57,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:15:58,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:15:59,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:16:00,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:16:09,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:16:13,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:16:22,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:16:26,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:16:51,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:16:56,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:17:54,hi@gmail.com,18-24,dairy,low,shop
2026-05-21 14:17:55,hi@gmail.com,18-24,dairy,low,shop
2026-05-21 14:17:56,hi@gmail.com,18-24,dairy,low,shop
2026-05-21 14:34:57,g@gmail.com,18-24,fruits,low,
2026-05-21 14:34:57,g@gmail.com,18-24,fruits,low,
2026-05-21 14:34:58,g@gmail.com,18-24,fruits,low,
2026-05-21 14:34:58,g@gmail.com,18-24,fruits,low,
2026-05-21 14:34:59,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:00,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:02,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:03,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:03,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:03,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:03,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:03,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:04,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:04,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:10,g@gmail.com,18-24,fruits,low,
2026-05-21 14:35:42,g@gmail.com,18-24,fruits,low,
2026-05-21 14:38:17,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:38:27,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:38:32,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:38:33,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:38:39,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:38:48,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:39:04,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:39:28,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:41:41,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:41:46,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:46:30,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:46:34,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:46:36,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:46:58,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:47:01,hi@gmail.com,18-24,fruits,low,
